image_id,class_id,image_filename,is_old_subset,grayscale_entropy,edge_density,laplacian_sharpness,luminance_contrast,mean_saturation,colorfulness,center_vs_border_contrast,jpeg_bytes_per_pixel
0,0,n01440764_4965_n01440764.JPEG,False,7.7760637702228035,0.759918212890625,0.025238221083087032,0.26744824982664755,0.32158292882582723,47.93236756274886,0.14583516837724675,0.4046478271484375
1,0,n01440764_10852_n01440764.JPEG,False,7.786587593600339,0.825836181640625,0.02954761333531574,0.22578829713325574,0.31946064070159313,43.01019083036032,0.1452737247242647,0.437744140625
2,0,n01440764_2628_n01440764.JPEG,False,7.6922606272095235,0.81829833984375,0.04018068940581747,0.22872565765492142,0.2511435116038603,35.328103504127654,0.1474764954810049,0.464111328125
3,0,n01440764_9753_n01440764.JPEG,False,7.66115147329951,0.8259735107421875,0.02614094582762639,0.22946368485678126,0.24897915709252452,36.950312386770605,0.21423060597937088,0.4333038330078125
4,0,n01440764_18128_n01440764.JPEG,False,7.5905870393325205,0.8379974365234375,0.06214428495049981,0.20140678645815344,0.502862429151348,57.50354384814922,0.2994681564031862,0.4415435791015625
5,0,n01440764_2015_n01440764.JPEG,False,7.689724651759221,0.8567352294921875,0.06307965986639753,0.20734389333106953,0.319000363817402,53.95541490199612,0.17232594209558844,0.5085296630859375
6,0,n01440764_9572_n01440764.JPEG,False,7.77514587257275,0.8554229736328125,0.013859814941218523,0.23988981110699178,0.15227529488357844,20.594837532967375,0.030365588618259776,0.3630218505859375
7,0,n01440764_12211_n01440764.JPEG,False,6.511537942047408,0.5148773193359375,0.0043395615943987885,0.1427216925679475,0.19393962785309438,25.008264619289022,0.06381157769097218,0.2452239990234375
8,0,n01440764_11424_n01440764.JPEG,False,7.025640290239004,0.60955810546875,0.032257813157048974,0.2897353749667802,0.20426958869485295,28.296263259594358,0.34285617404513885,0.3683013916015625
9,0,n01440764_7131_n01440764.JPEG,False,7.4166297767919165,0.755584716796875,0.05548601677765162,0.21547732207512063,0.3111035515280331,41.45359949509555,0.039656415951797475,0.480224609375
10,1,n01443537_354_n01443537.JPEG,False,7.024840320194997,0.4906463623046875,0.002263116480890763,0.27383518641516463,0.5014371984145221,80.31886128679294,0.10551709941789214,0.236297607421875
11,1,n01443537_860_n01443537.JPEG,False,6.378134687548194,0.309814453125,0.0004466881728181469,0.10893643637548714,0.4440651687921262,111.59200447381238,0.09369782092524503,0.18682861328125
12,1,n01443537_4099_n01443537.JPEG,False,6.460313893921235,0.311065673828125,0.001442832140132401,0.10054754567357861,0.4007049560546875,63.361408677963524,0.007315123314950878,0.2020721435546875
13,1,n01443537_2967_n01443537.JPEG,False,7.637311006059593,0.489501953125,0.017601729014982217,0.24223020874902504,0.5278631472120098,83.18801433007621,0.08911013135723028,0.366790771484375
